"url","Name","Receiving Yards","Receptions","TD's","Receiving Fumbles","Rec. 1st Downs","_url_input"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Keenan Allen","895","73","6","1","41","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Stefon Diggs","868","73","7","1","43","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Ja'Marr Chase","833","71","6","1","47","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","T.J. Hockenson","681","71","4","1","38","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Tyreek Hill","1076","69","8","1","50","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","CeeDee Lamb","975","68","4","2","42","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Adam Thielen","652","68","4","0","38","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","A.J. Brown","1005","67","6","0","46","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Michael Pittman","677","66","3","1","28","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Amon-Ra St. Brown","821","65","4","1","38","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Puka Nacua","827","64","2","1","41","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Davante Adams","659","57","3","0","37","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Travis Kelce","597","57","4","0","30","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Chris Olave","657","56","3","0","34","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Evan Engram","446","55","0","2","19","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Garrett Wilson","642","55","2","1","27","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Zay Flowers","588","53","1","0","26","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","DJ Moore","793","52","5","1","36","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Terry McLaurin","601","51","2","0","29","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Alvin Kamara","305","50","1","0","15","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Christian Kirk","624","49","3","2","27","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Tyler Boyd","439","47","2","0","19","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Sam LaPorta","474","47","4","0","24","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Cole Kmet","419","46","5","1","24","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
"https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc","Tyler Lockett","494","46","4","0","26","https://www.nfl.com/stats/player-stats/category/receiving/2023/reg/all/receivingreceptions/desc"
